,TimeAxis_us,Data,Fit_Window,Fit
0,-2.42,4.93825448948953e-06,,
1,-2.4100000001,2.31659048948952e-06,,
2,-2.4000000000000004,-4.23756951051047e-06,,
3,-2.3899999999999997,2.26344894895339e-08,,
4,-2.38,-3.58215351051048e-06,,
5,-2.37,-1.28819751051047e-06,,
6,-2.3600000000000003,-7.51464951051048e-06,,
7,-2.3499999999999996,-4.56527751051047e-06,,
8,-2.34,-9.60489510510473e-07,,
9,-2.330000001,-5.87610951051048e-06,,
10,-2.3200000010000004,-6.53152551051047e-06,,
11,-2.3099999999999996,1.28032464894895e-05,,
12,-2.3,2.26344894895339e-08,,
13,-2.29,-1.61590551051048e-06,,
14,-2.2800000000000002,-4.56527751051047e-06,,
15,-2.2699999999999996,-3.25444551051047e-06,,
16,-2.26,-3.05073510510468e-07,,
17,-2.25,8.87075048948953e-06,,
18,-2.24,5.92137848948953e-06,,
19,-2.2299999999999995,2.31659048948952e-06,,
20,-2.2199999999999998,2.64429848948952e-06,,
21,-2.21,3.50342489489522e-07,,
22,-2.2,6.24908648948953e-06,,
23,-2.1899999999999995,-9.15318951051047e-06,,
24,-2.1799999999999997,7.88762648948953e-06,,
25,-2.17,7.23221048948953e-06,,
26,-2.16,9.85387448948953e-06,,
27,-2.1500000000000004,6.24908648948953e-06,,
28,-2.1399999999999997,-4.56527751051047e-06,,
29,-2.13,5.92137848948953e-06,,
30,-2.12,7.23221048948953e-06,,
31,-2.1100000000000003,4.28283848948954e-06,,
32,-2.0999999999999996,-2.92673751051047e-06,,
33,-2.09,2.26344894895339e-08,,
34,-2.08,-6.3278151051047e-07,,
35,-2.0700000000000003,-2.59902951051047e-06,,
36,-2.0599999999999996,1.00575848948953e-06,,
37,-2.05,-4.23756951051047e-06,,
38,-2.04,6.57679448948952e-06,,
39,-2.0300000000000002,-2.59902951051047e-06,,
40,-2.0199999999999996,2.64429848948952e-06,,
41,-2.01,-9.60489510510473e-07,,
42,-2.0,-2.59902951051047e-06,,
43,-1.9899999999999998,6.57679448948952e-06,,
44,-1.98,-1.61590551051048e-06,,
45,-1.9699999999999998,1.66117448948953e-06,,
46,-1.96,4.61054648948952e-06,,
47,-1.9500000000000002,3.62742248948953e-06,,
48,-1.94,-8.17006551051047e-06,,
49,-1.9299999999999997,1.00575848948953e-06,,
50,-1.92,-5.87610951051048e-06,,
51,-1.9100000000000001,-3.90986151051047e-06,,
52,-1.9,-1.28819751051047e-06,,
53,-1.8899999999999997,3.29971448948953e-06,,
54,-1.88,-1.61590551051048e-06,,
55,-1.87,-1.94361351051047e-06,,
56,-1.8599999999999999,-5.87610951051048e-06,,
57,-1.85,3.50342489489522e-07,,
58,-1.8399999999999999,3.62742248948953e-06,,
59,-1.83,-3.05073510510468e-07,,
60,-1.8199999999999998,-3.05073510510468e-07,,
61,-1.81,1.00575848948953e-06,,
62,-1.7999999999999998,1.66117448948953e-06,,
63,-1.79,-3.05073510510468e-07,,
64,-1.7799999999999998,2.26344894895339e-08,,
65,-1.77,2.31659048948952e-06,,
66,-1.7599999999999998,-3.58215351051048e-06,,
67,-1.75,-5.87610951051048e-06,,
68,-1.7399999999999998,-1.94361351051047e-06,,
69,-1.73,3.95513048948953e-06,,
70,-1.7199999999999998,-6.3278151051047e-07,,
71,-1.71,-2.92673751051047e-06,,
72,-1.7000000000000002,-6.3278151051047e-07,,
73,-1.69,-1.94361351051047e-06,,
74,-1.6799999999999997,5.26596248948953e-06,,
75,-1.67,-1.94361351051047e-06,,
76,-1.6600000000000001,-3.58215351051048e-06,,
77,-1.65,-3.05073510510468e-07,,
78,-1.6399999999999997,9.19845848948953e-06,,
79,-1.63,-1.28819751051047e-06,,
80,-1.62,-4.23756951051047e-06,,
81,-1.6099999999999999,-2.59902951051047e-06,,
82,-1.6,-1.61590551051048e-06,,
83,-1.5900000099999998,1.66117448948953e-06,,
84,-1.58000001,2.64429848948952e-06,,
85,-1.5700000099999998,-5.54840151051048e-06,,
86,-1.56000001,1.98888248948953e-06,,
87,-1.5500000099999998,1.33346648948953e-06,,
88,-1.54000001,5.26596248948953e-06,,
89,-1.5300000100000002,1.66117448948953e-06,,
90,-1.52000001,-9.60489510510473e-07,,
91,-1.5100000099999997,2.26344894895339e-08,,
92,-1.50000001,1.33346648948953e-06,,
93,-1.4900000100000002,-5.22069351051047e-06,,
94,-1.48000001,-1.28819751051047e-06,,
95,-1.4700000099999997,-3.05073510510468e-07,,
96,-1.46000001,1.33346648948953e-06,,
97,-1.4500000100000001,-3.25444551051047e-06,,
98,-1.4400000099999999,-3.05073510510468e-07,,
99,-1.4300000099999997,-3.90986151051047e-06,,
100,-1.4200000099999999,6.24908648948953e-06,,
101,-1.4100000000000001,3.50342489489522e-07,,
102,-1.4,-6.20381751051047e-06,,
103,-1.3899999999999997,4.28283848948954e-06,,
104,-1.38,3.50342489489522e-07,,
105,-1.37,-6.53152551051047e-06,,
106,-1.3599999999999999,-3.25444551051047e-06,,
107,-1.3499999999999996,-3.05073510510468e-07,,
108,-1.3399999999999999,2.26344894895339e-08,,
109,-1.33,3.62742248948953e-06,,
110,-1.3199999999999998,6.57679448948952e-06,,
111,-1.3099999999999996,-3.05073510510468e-07,,
112,-1.2999999999999998,4.93825448948953e-06,,
113,-1.29,-5.87610951051048e-06,,
114,-1.2800000000000002,-6.3278151051047e-07,,
115,-1.27,-3.25444551051047e-06,,
116,-1.2599999999999998,1.98888248948953e-06,,
117,-1.25,6.78050489489525e-07,,
118,-1.2400000000000002,5.92137848948953e-06,,
119,-1.23,-2.92673751051047e-06,,
120,-1.2199999999999998,-3.05073510510468e-07,,
121,-1.21,-4.56527751051047e-06,,
122,-1.2000000000000002,6.78050489489525e-07,,
123,-1.19,1.98888248948953e-06,,
124,-1.1799999999999997,-9.60489510510473e-07,,
125,-1.17,6.24908648948953e-06,,
126,-1.1600000000000001,1.33346648948953e-06,,
127,-1.15,8.87075048948953e-06,,
128,-1.1399999999999997,-9.48089751051048e-06,,
129,-1.13,2.26344894895339e-08,,
130,-1.12,-2.27132151051047e-06,,
131,-1.1099999999999999,2.31659048948952e-06,,
132,-1.0999999999999996,-2.59902951051047e-06,,
133,-1.0899999999999999,1.00575848948953e-06,,
134,-1.08,2.31659048948952e-06,,
135,-1.0699999999999998,3.29971448948953e-06,,
136,-1.0599999999999996,6.78050489489525e-07,,
137,-1.0499999999999998,8.54304248948952e-06,,
138,-1.04,1.33346648948953e-06,,
139,-1.0300000000000002,-1.28819751051047e-06,,
140,-1.02,-5.54840151051048e-06,,
141,-1.0099999999999998,-3.05073510510468e-07,,
142,-1.0,1.00575848948953e-06,,
143,-0.9900000000000002,8.87075048948953e-06,,
144,-0.98,5.59367048948953e-06,,
145,-0.9699999999999998,-1.34133945105105e-05,,
146,-0.96,3.95513048948953e-06,,
147,-0.9500000000000002,6.90450248948953e-06,,
148,-0.94,1.98888248948953e-06,,
149,-0.9299999999999997,-3.58215351051048e-06,,
150,-0.9199999999999999,6.90450248948953e-06,,
151,-0.9100000000000001,-6.53152551051047e-06,,
152,-0.8999999999999999,5.59367048948953e-06,,
153,-0.8899999999999997,2.64429848948952e-06,,
154,-0.8799999999999999,-4.56527751051047e-06,,
155,-0.8700000000000001,3.29971448948953e-06,,
156,-0.8599999999999999,-6.20381751051047e-06,,
157,-0.8499999999999996,3.29971448948953e-06,,
158,-0.8399999999999999,-4.56527751051047e-06,,
159,-0.8300000000000001,3.95513048948953e-06,,
160,-0.8199999999999998,1.00575848948953e-06,,
161,-0.8099999999999996,-1.28819751051047e-06,,
162,-0.7999999999999998,6.24908648948953e-06,,
