,TimeAxis_us,Data,Fit_Window,Fit
0,0.052000100000000105,-1.93315808310993e-06,,
1,0.0560000999000001,-3.62888083109934e-07,,
2,0.060000099800000095,1.52143591689007e-06,,
3,0.06400010000000012,8.93327916890066e-07,,
4,0.06800010000000012,1.52143591689007e-06,,
5,0.07200009900000004,-5.70180608310993e-06,,
6,0.07600009900000004,1.18852179168901e-05,,
7,0.08000009900000005,9.37278591689007e-06,,
8,0.08400009900000005,-6.01586008310993e-06,,
9,0.08800009900000005,3.09170591689007e-06,,
10,0.09200009900000006,5.91819191689007e-06,,
11,0.09600009900000006,-1.10407250831099e-05,,
12,0.10000009900000006,5.29008391689007e-06,,
13,0.10400009900000007,-6.95802208310993e-06,,
14,0.10800009800000021,7.17440791689007e-06,,
15,0.11200009800000021,-1.00985630831099e-05,,
16,0.11600009800000022,1.20738191689007e-06,,
17,0.12000009800000022,5.60413791689007e-06,,
18,0.124000098,-8.84234608310993e-06,,
19,0.128000098,4.03386791689007e-06,,
20,0.132000098,-5.70180608310993e-06,,
21,0.136000098,-4.13153608310993e-06,,
22,0.14000009800000002,6.86035391689007e-06,,
23,0.14400009700000016,-2.56126608310993e-06,,
24,0.14800009700000016,-1.93315808310993e-06,,
25,0.15200009700000017,-1.30505008310993e-06,,
26,0.1560001000000002,2.77765191689007e-06,,
27,0.1600001000000002,-2.24721208310993e-06,,
28,0.1640001000000002,-4.88340831099291e-08,,
29,0.1680001000000002,-2.20326150831099e-05,,
30,0.1720001,1.72241359168901e-05,,
31,0.1760001,-4.75964408310993e-06,,
32,0.1800001,-7.90018408310993e-06,,
33,0.1840001,-3.62888083109934e-07,,
34,0.1880001,4.66197591689007e-06,,
35,0.1920001,1.21992719168901e-05,,
36,0.1960001,5.29008391689007e-06,,
37,0.20000010000000001,-6.95802208310993e-06,,
38,0.20400010000000002,-5.07369808310993e-06,,
39,0.20800010000000002,7.48846191689007e-06,,
40,0.21200010000000002,2.46359791689007e-06,,
41,0.21600010000000003,-1.30505008310993e-06,,
42,0.22000010000000003,-1.93315808310993e-06,,
43,0.22400010000000004,-1.93315808310993e-06,,
44,0.22800010000000004,-7.90018408310993e-06,,
45,0.2320000900000001,-1.04126170831099e-05,,
46,0.2360000900000001,-6.95802208310993e-06,,
47,0.2400000900000001,-6.95802208310993e-06,,
48,0.2440000900000001,-3.18937408310993e-06,,
49,0.24800009000000012,-6.32991408310993e-06,,
50,0.2520000900000001,4.66197591689007e-06,,
51,0.2560000900000001,5.91819191689007e-06,,
52,0.26000009000000013,-1.61910408310993e-06,,
53,0.26400009000000013,1.83548991689007e-06,,
54,0.26800009000000014,-7.27207608310993e-06,,
55,0.27200009000000014,3.09170591689007e-06,,
56,0.27600009000000014,6.86035391689007e-06,,
57,0.28000009000000015,-6.32991408310993e-06,,
58,0.28400009000000015,4.97602991689007e-06,,
59,0.28800009000000015,-7.58613008310993e-06,,
60,0.29200009000000016,-2.56126608310993e-06,,
61,0.29600009000000016,4.66197591689007e-06,,
62,0.30000009000000016,1.03149479168901e-05,,
63,0.30400009000000017,-5.07369808310993e-06,,
64,0.30800009000000017,-4.75964408310993e-06,,
65,0.3120000900000002,2.65219916890069e-07,,
66,0.3160000900000002,-4.75964408310993e-06,,
67,0.3200000900000002,-4.75964408310993e-06,,
68,0.3240000900000002,-9.15640008310993e-06,,
69,0.3280000900000002,-3.18937408310993e-06,,
70,0.3320000900000002,-1.61910408310993e-06,,
71,0.3360000900000002,-6.95802208310993e-06,,
72,0.3400000900000002,3.09170591689007e-06,,
73,0.3440000900000002,2.77765191689007e-06,,
74,0.3480000900000002,-2.56126608310993e-06,,
75,0.3520000900000002,3.09170591689007e-06,,
76,0.3560000900000002,4.97602991689007e-06,,
77,0.3600000900000002,3.40575991689007e-06,,
78,0.3640000900000002,-6.32991408310993e-06,,
79,0.3680000900000002,-1.93315808310993e-06,,
80,0.3720000900000002,-9.15640008310993e-06,,
81,0.37600009000000023,-7.27207608310993e-06,,
82,0.38000009000000023,-6.64396808310993e-06,,
83,0.38400009000000024,-5.07369808310993e-06,,
84,0.38800009000000024,-7.58613008310993e-06,,
85,0.39200009,6.23224591689007e-06,,
86,0.39600009,-2.24721208310993e-06,,
87,0.40000009000000003,-7.58613008310993e-06,,
88,0.40400009000000003,1.83548991689007e-06,,
89,0.40800009000000004,-6.01586008310993e-06,,
90,0.41200009000000004,-4.44559008310993e-06,,
91,0.41600009000000004,4.66197591689007e-06,,
92,0.42000009000000005,-3.18937408310993e-06,,
93,0.42400009000000005,-4.88340831099291e-08,,
94,0.42800009000000006,4.03386791689007e-06,,
95,0.43200009000000006,2.77765191689007e-06,,
96,0.43600009000000006,1.20738191689007e-06,,
97,0.44000009000000007,5.60413791689007e-06,,
98,0.44400009000000007,-1.61910408310993e-06,,
99,0.4480000900000001,-9.47045408310993e-06,,
100,0.4520000900000001,-1.61910408310993e-06,,
101,0.4560000900000001,2.65219916890069e-07,,
102,0.4600000900000001,1.20738191689007e-06,,
103,0.4640000900000001,8.93327916890066e-07,,
104,0.4680000900000001,-1.00985630831099e-05,,
105,0.4720000900000001,-4.13153608310993e-06,,
106,0.4760000900000001,4.03386791689007e-06,,
107,0.4800000900000001,1.03149479168901e-05,,
108,0.4840000900000001,2.77765191689007e-06,,
109,0.4880000900000001,-2.87532008310993e-06,,
110,0.4920000900000001,4.34792191689007e-06,,
111,0.4960000900000001,-8.21423808310993e-06,,
112,0.5000000900000001,2.77765191689007e-06,,
113,0.5040000900000001,-1.30505008310993e-06,,
